transaction_id,customer_id,merchant_id,amount,payment_method,bank,failure_reason,failure_category,attempt_count,previous_success_count,previous_failure_count,preferred_payment_method,customer_tenure_days,customer_value_segment,hour_of_day,day_of_week,merchant_category,checkout_abandoned,checkout_duration_seconds,device_type,historical_avg_order_value,recovery_action,recovery_success,recovery_delay_minutes,recovered_amount
tx_rec_100010,cust_12277,mer_216,90123.75,UPI,Kotak Mahindra Bank,UPI_PIN_FAILED,AUTHENTICATION,4,41,2,UPI,722,VIP,10,2,EdTech & Learning,0,384,MOBILE_IOS,45097.68,SMART_PAYLINK_1CLICK,1,4.2,90123.75
tx_rec_100011,cust_15490,mer_168,7415.54,WALLET,State Bank of India,USER_CANCELLED,INTENT_ABANDONMENT,1,3,1,CARD,566,STANDARD,10,0,E-Commerce & Retail,0,138,MOBILE_ANDROID,7261.17,WHATSAPP_CONCIERGE,0,0.0,0.0
tx_rec_100012,cust_11401,mer_236,4139.71,UPI,State Bank of India,UPI_TIMEOUT,TECHNICAL_TIMEOUT,2,4,8,NET_BANKING,7,STANDARD,0,3,SaaS & Cloud Services,0,82,MOBILE_ANDROID,3253.77,TIMED_SMART_RETRY,1,271.9,4139.71
tx_rec_100013,cust_17580,mer_242,7865.43,UPI,Punjab National Bank,TRANSACTION_LIMIT,FINANCIAL_LIMIT,1,13,7,UPI,55,STANDARD,9,6,E-Commerce & Retail,0,83,MOBILE_ANDROID,5435.2,UPI_INTENT_FALLBACK,1,8.0,7865.43
tx_rec_100014,cust_11876,mer_108,4601.11,UPI,Kotak Mahindra Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,4,14,8,UPI,177,STANDARD,10,0,E-Commerce & Retail,0,446,MOBILE_ANDROID,6705.38,TIMED_SMART_RETRY,1,150.0,4601.11
tx_rec_100015,cust_17724,mer_245,5092.84,UPI,Kotak Mahindra Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,1,6,5,UPI,23,STANDARD,11,5,Quick Commerce & Food,0,30,MOBILE_ANDROID,4576.79,SMART_PAYLINK_1CLICK,1,6.0,5092.84
tx_rec_100016,cust_17247,mer_217,23832.43,UPI,IndusInd Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,1,20,5,UPI,167,VIP,18,5,EdTech & Learning,0,56,MOBILE_IOS,42161.26,TIMED_SMART_RETRY,1,248.3,23832.43
tx_rec_100017,cust_12152,mer_249,10187.47,CARD,State Bank of India,OTP_FAILED,AUTHENTICATION,1,5,4,CARD,111,GROWTH,6,2,SaaS & Cloud Services,0,177,MOBILE_ANDROID,7709.78,SMART_PAYLINK_1CLICK,1,9.3,10187.47
tx_rec_100018,cust_11133,mer_230,21573.9,UPI,Kotak Mahindra Bank,TRANSACTION_LIMIT,FINANCIAL_LIMIT,4,56,3,UPI,109,VIP,6,6,SaaS & Cloud Services,0,171,MOBILE_ANDROID,11902.46,TIMED_SMART_RETRY,1,85.3,21573.9
tx_rec_100019,cust_15140,mer_140,53486.48,UPI,Axis Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,2,29,5,CARD,187,VIP,7,0,SaaS & Cloud Services,0,232,MOBILE_ANDROID,55822.59,TIMED_SMART_RETRY,1,229.2,53486.48
tx_rec_100020,cust_14881,mer_219,14764.71,UPI,HDFC Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,29,7,UPI,263,GROWTH,19,6,SaaS & Cloud Services,0,110,MOBILE_IOS,15476.99,SMART_PAYLINK_1CLICK,0,0.0,0.0
tx_rec_100021,cust_15572,mer_129,24433.75,CARD,State Bank of India,BANK_DECLINED,FINANCIAL_LIMIT,1,21,3,UPI,142,GROWTH,17,2,Utilities & Telecom,0,165,MOBILE_ANDROID,8692.17,TIMED_SMART_RETRY,1,67.9,24433.75
tx_rec_100022,cust_12786,mer_128,16728.14,WALLET,ICICI Bank,INSUFFICIENT_FUNDS,FINANCIAL_LIMIT,1,11,1,WALLET,48,GROWTH,18,0,SaaS & Cloud Services,0,169,MOBILE_ANDROID,4462.93,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100023,cust_17174,mer_167,17451.97,NET_BANKING,Kotak Mahindra Bank,USER_CANCELLED,INTENT_ABANDONMENT,1,51,4,NET_BANKING,32,VIP,13,4,SaaS & Cloud Services,0,71,MOBILE_IOS,33700.13,CARD_UPDATE_PROMPT,1,69.8,17451.97
tx_rec_100024,cust_17131,mer_176,1914.2,UPI,Axis Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,2,13,5,CARD,93,STANDARD,8,1,E-Commerce & Retail,0,42,MOBILE_IOS,2659.97,UPI_INTENT_FALLBACK,1,6.6,1914.2
tx_rec_100025,cust_16246,mer_141,2691.41,UPI,HDFC Bank,UPI_PIN_FAILED,AUTHENTICATION,2,9,5,UPI,30,STANDARD,22,4,E-Commerce & Retail,0,77,MOBILE_IOS,3721.95,WHATSAPP_CONCIERGE,0,0.0,0.0
tx_rec_100026,cust_14906,mer_182,3810.59,UPI,State Bank of India,UPI_TIMEOUT,TECHNICAL_TIMEOUT,2,5,7,UPI,53,STANDARD,11,2,SaaS & Cloud Services,0,26,MOBILE_ANDROID,5121.09,SMART_PAYLINK_1CLICK,0,0.0,0.0
tx_rec_100027,cust_16813,mer_178,4885.66,UPI,Kotak Mahindra Bank,INSUFFICIENT_FUNDS,FINANCIAL_LIMIT,1,14,1,UPI,246,STANDARD,14,4,SaaS & Cloud Services,0,68,MOBILE_IOS,5451.08,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100028,cust_10701,mer_224,6696.54,UPI,Bank of Baroda,UPI_PIN_FAILED,AUTHENTICATION,2,6,9,CARD,64,STANDARD,9,4,SaaS & Cloud Services,0,36,MOBILE_ANDROID,7537.37,WHATSAPP_CONCIERGE,0,0.0,0.0
tx_rec_100029,cust_11051,mer_221,5304.67,UPI,State Bank of India,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,2,3,7,MANDATE,7,STANDARD,4,4,SaaS & Cloud Services,0,64,MOBILE_IOS,4848.45,SMART_PAYLINK_1CLICK,0,0.0,0.0
tx_rec_100030,cust_13466,mer_154,92736.64,UPI,HDFC Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,104,1,WALLET,208,ENTERPRISE,3,5,SaaS & Cloud Services,0,45,MOBILE_ANDROID,124726.79,SMART_PAYLINK_1CLICK,1,1.0,92736.64
tx_rec_100031,cust_12553,mer_202,5166.77,UPI,State Bank of India,UPI_TIMEOUT,TECHNICAL_TIMEOUT,4,5,1,UPI,46,STANDARD,7,3,Travel & Hospitality,0,37,MOBILE_ANDROID,5818.43,UPI_INTENT_FALLBACK,0,0.0,0.0
tx_rec_100032,cust_13698,mer_130,65512.03,UPI,Axis Bank,CHECKOUT_ABANDONED,INTENT_ABANDONMENT,3,37,2,UPI,79,VIP,15,4,E-Commerce & Retail,1,43,MOBILE_ANDROID,38981.43,WHATSAPP_CONCIERGE,1,2.0,65512.03
tx_rec_100033,cust_11804,mer_101,29122.53,UPI,State Bank of India,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,58,3,UPI,21,VIP,18,1,EdTech & Learning,0,124,MOBILE_ANDROID,34592.84,SMART_PAYLINK_1CLICK,1,10.5,29122.53
tx_rec_100034,cust_10257,mer_184,5657.09,NET_BANKING,State Bank of India,AUTHENTICATION_FAILED,AUTHENTICATION,1,12,8,NET_BANKING,2,STANDARD,12,5,SaaS & Cloud Services,0,466,MOBILE_ANDROID,4913.09,SMART_PAYLINK_1CLICK,1,5.5,5657.09
tx_rec_100035,cust_14417,mer_133,15393.48,UPI,HDFC Bank,UPI_PIN_FAILED,AUTHENTICATION,1,23,4,NET_BANKING,82,GROWTH,18,4,Travel & Hospitality,0,78,MOBILE_IOS,15971.31,SMART_PAYLINK_1CLICK,1,1.2,15393.48
tx_rec_100036,cust_16427,mer_221,7284.76,UPI,Axis Bank,INSUFFICIENT_FUNDS,FINANCIAL_LIMIT,1,2,3,UPI,83,STANDARD,18,0,SaaS & Cloud Services,0,59,MOBILE_IOS,4627.71,UPI_INTENT_FALLBACK,0,0.0,0.0
tx_rec_100037,cust_12902,mer_208,7239.99,UPI,State Bank of India,UPI_PIN_FAILED,AUTHENTICATION,1,9,7,UPI,236,GROWTH,11,0,Travel & Hospitality,0,222,MOBILE_ANDROID,7282.44,SMART_PAYLINK_1CLICK,1,4.0,7239.99
tx_rec_100038,cust_15293,mer_125,20232.11,UPI,Kotak Mahindra Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,1,29,3,UPI,204,GROWTH,5,6,SaaS & Cloud Services,0,84,DESKTOP,16190.53,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100039,cust_12036,mer_149,41957.46,CARD,State Bank of India,BANK_DECLINED,FINANCIAL_LIMIT,1,33,1,CARD,54,VIP,21,3,EdTech & Learning,0,92,MOBILE_IOS,38204.25,TIMED_SMART_RETRY,1,97.4,41957.46
tx_rec_100040,cust_13789,mer_163,3363.69,CARD,Axis Bank,SESSION_TIMEOUT,INTENT_ABANDONMENT,1,6,8,CARD,51,STANDARD,6,6,EdTech & Learning,1,103,MOBILE_IOS,5909.05,WHATSAPP_CONCIERGE,1,9.9,3363.69
tx_rec_100041,cust_10414,mer_238,1662.83,UPI,ICICI Bank,TRANSACTION_LIMIT,FINANCIAL_LIMIT,2,13,9,NET_BANKING,165,STANDARD,20,6,E-Commerce & Retail,0,62,MOBILE_ANDROID,1362.0,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100042,cust_11362,mer_204,44884.47,UPI,Bank of Baroda,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,15,4,UPI,375,VIP,10,3,E-Commerce & Retail,0,298,MOBILE_ANDROID,45224.68,SMART_PAYLINK_1CLICK,1,9.9,44884.47
tx_rec_100043,cust_11348,mer_197,8628.69,UPI,ICICI Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,1,9,9,UPI,384,STANDARD,6,6,Quick Commerce & Food,0,360,TABLET,4456.22,UPI_INTENT_FALLBACK,1,6.6,8628.69
tx_rec_100044,cust_12336,mer_208,6001.79,UPI,ICICI Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,2,13,8,UPI,59,STANDARD,0,6,Travel & Hospitality,0,54,DESKTOP,7320.2,UPI_INTENT_FALLBACK,1,0.5,6001.79
tx_rec_100045,cust_15885,mer_224,4076.56,UPI,HDFC Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,3,6,5,UPI,74,STANDARD,15,0,E-Commerce & Retail,0,125,MOBILE_ANDROID,7131.03,SMART_PAYLINK_1CLICK,1,21.5,4076.56
tx_rec_100046,cust_14441,mer_115,10037.31,UPI,ICICI Bank,CHECKOUT_ABANDONED,INTENT_ABANDONMENT,2,28,6,MANDATE,380,GROWTH,8,4,E-Commerce & Retail,1,88,MOBILE_ANDROID,5012.24,WHATSAPP_CONCIERGE,1,3.8,10037.31
tx_rec_100047,cust_14350,mer_140,7734.87,UPI,ICICI Bank,UPI_PIN_FAILED,AUTHENTICATION,1,2,7,UPI,219,STANDARD,9,6,E-Commerce & Retail,0,115,MOBILE_ANDROID,6036.99,UPI_INTENT_FALLBACK,1,2.1,7734.87
tx_rec_100048,cust_14874,mer_117,3267.02,UPI,Kotak Mahindra Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,2,1,3,UPI,8,STANDARD,15,0,E-Commerce & Retail,0,36,MOBILE_ANDROID,2396.28,UPI_INTENT_FALLBACK,0,0.0,0.0
tx_rec_100049,cust_14666,mer_163,10745.15,UPI,ICICI Bank,CHECKOUT_ABANDONED,INTENT_ABANDONMENT,2,10,5,UPI,373,STANDARD,18,5,SaaS & Cloud Services,1,8,MOBILE_ANDROID,6300.97,WHATSAPP_CONCIERGE,1,2.7,10745.15
tx_rec_100050,cust_14282,mer_180,1671.03,UPI,Kotak Mahindra Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,8,9,NET_BANKING,79,STANDARD,18,5,EdTech & Learning,0,95,MOBILE_ANDROID,1495.18,TIMED_SMART_RETRY,1,264.9,1671.03
tx_rec_100051,cust_12175,mer_201,5106.07,NET_BANKING,ICICI Bank,BANK_TIMEOUT,TECHNICAL_TIMEOUT,1,1,4,NET_BANKING,12,STANDARD,16,3,E-Commerce & Retail,0,279,MOBILE_ANDROID,7151.16,UPI_INTENT_FALLBACK,1,5.3,5106.07
tx_rec_100052,cust_16159,mer_118,1785.94,UPI,Axis Bank,USER_CANCELLED,INTENT_ABANDONMENT,1,8,2,UPI,57,STANDARD,10,4,EdTech & Learning,0,30,MOBILE_ANDROID,1681.31,WHATSAPP_CONCIERGE,0,0.0,0.0
tx_rec_100053,cust_10600,mer_237,3043.49,UPI,HDFC Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,10,1,UPI,141,STANDARD,12,2,EdTech & Learning,0,268,MOBILE_IOS,5723.22,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100054,cust_17202,mer_162,23382.67,UPI,ICICI Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,3,55,1,UPI,151,VIP,19,6,E-Commerce & Retail,0,183,MOBILE_ANDROID,17438.99,SMART_PAYLINK_1CLICK,1,5.6,23382.67
tx_rec_100055,cust_12478,mer_235,16866.46,UPI,Kotak Mahindra Bank,INSUFFICIENT_FUNDS,FINANCIAL_LIMIT,2,20,5,UPI,296,VIP,13,2,EdTech & Learning,0,137,MOBILE_ANDROID,18965.64,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100056,cust_10848,mer_134,3748.32,CARD,ICICI Bank,BANK_DECLINED,FINANCIAL_LIMIT,1,15,6,CARD,83,GROWTH,11,5,E-Commerce & Retail,0,102,MOBILE_ANDROID,5502.86,UPI_INTENT_FALLBACK,1,3.0,3748.32
tx_rec_100057,cust_12231,mer_172,5985.79,UPI,Bank of Baroda,UPI_PIN_FAILED,AUTHENTICATION,1,5,8,UPI,736,STANDARD,13,1,E-Commerce & Retail,0,82,MOBILE_ANDROID,6563.45,SMART_PAYLINK_1CLICK,1,2.6,5985.79
tx_rec_100058,cust_16987,mer_167,4719.78,NET_BANKING,Axis Bank,BANK_TIMEOUT,TECHNICAL_TIMEOUT,1,1,2,NET_BANKING,81,STANDARD,5,6,E-Commerce & Retail,0,78,DESKTOP,3759.38,SMART_PAYLINK_1CLICK,1,1.3,4719.78
tx_rec_100059,cust_15196,mer_208,6620.13,UPI,State Bank of India,CHECKOUT_ABANDONED,INTENT_ABANDONMENT,1,20,2,WALLET,44,GROWTH,15,1,SaaS & Cloud Services,1,57,MOBILE_ANDROID,17064.56,SMART_PAYLINK_1CLICK,1,7.8,6620.13
tx_rec_100060,cust_12145,mer_141,1813.04,CARD,Kotak Mahindra Bank,EXPIRED_CARD,INVALID_INSTRUMENT,3,14,4,CARD,129,STANDARD,14,3,SaaS & Cloud Services,0,62,MOBILE_ANDROID,2331.73,CARD_UPDATE_PROMPT,1,24.5,1813.04
tx_rec_100061,cust_10916,mer_119,4268.77,UPI,HDFC Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,11,1,UPI,174,GROWTH,9,1,E-Commerce & Retail,0,123,MOBILE_ANDROID,11165.0,UPI_INTENT_FALLBACK,1,2.2,4268.77
tx_rec_100062,cust_16837,mer_194,5018.09,UPI,State Bank of India,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,2,5,4,UPI,231,STANDARD,23,1,E-Commerce & Retail,0,256,MOBILE_ANDROID,5492.94,SMART_PAYLINK_1CLICK,1,5.1,5018.09
tx_rec_100063,cust_12987,mer_110,18698.4,UPI,ICICI Bank,INSUFFICIENT_FUNDS,FINANCIAL_LIMIT,1,37,1,NET_BANKING,498,VIP,18,1,Quick Commerce & Food,0,526,MOBILE_ANDROID,27046.79,TIMED_SMART_RETRY,1,119.3,18698.4
tx_rec_100064,cust_12897,mer_243,1565.38,UPI,ICICI Bank,TRANSACTION_LIMIT,FINANCIAL_LIMIT,1,4,9,CARD,125,STANDARD,11,4,EdTech & Learning,0,172,MOBILE_ANDROID,3253.36,INCENTIVIZED_DUNNING,1,58.1,1487.11
tx_rec_100065,cust_17583,mer_160,6604.95,CARD,State Bank of India,BANK_TIMEOUT,TECHNICAL_TIMEOUT,1,9,1,CARD,20,GROWTH,1,6,SaaS & Cloud Services,0,52,MOBILE_ANDROID,8125.5,UPI_INTENT_FALLBACK,1,1.5,6604.95
tx_rec_100066,cust_13377,mer_106,92778.08,UPI,Axis Bank,USER_CANCELLED,INTENT_ABANDONMENT,2,26,3,UPI,70,VIP,11,6,EdTech & Learning,0,67,MOBILE_ANDROID,38593.79,UPI_INTENT_FALLBACK,0,0.0,0.0
tx_rec_100067,cust_16571,mer_163,12044.3,UPI,HDFC Bank,BANK_SERVER_DOWN,TECHNICAL_TIMEOUT,1,19,6,UPI,245,GROWTH,10,0,Quick Commerce & Food,0,29,MOBILE_ANDROID,12339.65,TIMED_SMART_RETRY,1,249.3,12044.3
tx_rec_100068,cust_10317,mer_220,18370.16,UPI,HDFC Bank,TRANSACTION_LIMIT,FINANCIAL_LIMIT,1,14,1,UPI,12,GROWTH,11,3,E-Commerce & Retail,0,40,MOBILE_ANDROID,16272.95,UPI_INTENT_FALLBACK,1,0.6,18370.16
tx_rec_100069,cust_16721,mer_158,2923.46,NET_BANKING,Axis Bank,AUTHENTICATION_FAILED,AUTHENTICATION,1,6,4,NET_BANKING,11,STANDARD,23,3,Utilities & Telecom,0,168,DESKTOP,2202.41,WHATSAPP_CONCIERGE,1,2.0,2923.46
tx_rec_100070,cust_17080,mer_117,5539.61,UPI,Punjab National Bank,INSUFFICIENT_FUNDS,FINANCIAL_LIMIT,1,4,6,CARD,318,STANDARD,8,5,SaaS & Cloud Services,0,95,MOBILE_IOS,4700.02,TIMED_SMART_RETRY,1,273.9,5539.61
tx_rec_100071,cust_15566,mer_237,48962.37,UPI,State Bank of India,SESSION_TIMEOUT,INTENT_ABANDONMENT,1,21,5,UPI,1055,VIP,18,2,SaaS & Cloud Services,1,33,MOBILE_ANDROID,27763.09,WHATSAPP_CONCIERGE,1,9.6,48962.37
tx_rec_100072,cust_17885,mer_167,138182.53,UPI,Bank of Baroda,UPI_PIN_FAILED,AUTHENTICATION,1,78,6,UPI,83,ENTERPRISE,13,2,E-Commerce & Retail,0,39,MOBILE_IOS,59365.81,UPI_INTENT_FALLBACK,1,0.5,138182.53
tx_rec_100073,cust_12569,mer_211,2098.25,WALLET,ICICI Bank,AUTHENTICATION_FAILED,AUTHENTICATION,1,8,1,WALLET,9,STANDARD,13,3,E-Commerce & Retail,0,27,MOBILE_ANDROID,2918.31,SMART_PAYLINK_1CLICK,0,0.0,0.0
tx_rec_100074,cust_11557,mer_165,5244.69,UPI,HDFC Bank,USER_CANCELLED,INTENT_ABANDONMENT,3,11,9,UPI,9,STANDARD,13,4,Travel & Hospitality,0,165,DESKTOP,6315.57,INCENTIVIZED_DUNNING,0,0.0,0.0
tx_rec_100075,cust_14410,mer_150,2927.54,UPI,HDFC Bank,CHECKOUT_ABANDONED,INTENT_ABANDONMENT,3,12,5,UPI,29,STANDARD,12,2,SaaS & Cloud Services,1,39,MOBILE_ANDROID,1883.68,INCENTIVIZED_DUNNING,0,0.0,0.0
tx_rec_100076,cust_15434,mer_131,18346.07,CARD,State Bank of India,BANK_DECLINED,FINANCIAL_LIMIT,1,23,1,UPI,475,GROWTH,17,2,SaaS & Cloud Services,0,100,MOBILE_ANDROID,10895.83,INCENTIVIZED_DUNNING,1,10.8,17428.77
tx_rec_100077,cust_12672,mer_203,28270.56,UPI,Bank of Baroda,UPI_PIN_FAILED,AUTHENTICATION,1,18,7,MANDATE,40,GROWTH,19,1,Travel & Hospitality,0,98,MOBILE_ANDROID,19168.54,WHATSAPP_CONCIERGE,1,6.3,28270.56
tx_rec_100078,cust_17703,mer_197,5554.42,UPI,State Bank of India,TRANSACTION_LIMIT,FINANCIAL_LIMIT,2,17,1,UPI,51,GROWTH,8,4,SaaS & Cloud Services,0,20,MOBILE_IOS,13053.94,TIMED_SMART_RETRY,1,168.5,5554.42
tx_rec_100079,cust_13326,mer_240,22290.18,WALLET,Axis Bank,USER_CANCELLED,INTENT_ABANDONMENT,2,1,9,CARD,26,STANDARD,15,1,Quick Commerce & Food,0,437,MOBILE_ANDROID,6805.11,UPI_INTENT_FALLBACK,0,0.0,0.0
tx_rec_100080,cust_14751,mer_182,3941.68,CARD,HDFC Bank,OTP_FAILED,AUTHENTICATION,1,19,3,CARD,420,GROWTH,11,1,SaaS & Cloud Services,0,21,MOBILE_ANDROID,4937.08,SMART_PAYLINK_1CLICK,1,2.8,3941.68
tx_rec_100081,cust_16502,mer_143,2903.84,UPI,Yes Bank,USER_CANCELLED,INTENT_ABANDONMENT,1,12,8,CARD,55,STANDARD,6,5,Quick Commerce & Food,0,229,MOBILE_ANDROID,1836.9,CARD_UPDATE_PROMPT,0,0.0,0.0
tx_rec_100082,cust_12745,mer_123,2594.27,UPI,HDFC Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,8,7,UPI,126,STANDARD,3,5,E-Commerce & Retail,0,238,MOBILE_IOS,2293.83,SMART_PAYLINK_1CLICK,1,51.0,2594.27
tx_rec_100083,cust_16607,mer_150,9228.38,NET_BANKING,ICICI Bank,BANK_TIMEOUT,TECHNICAL_TIMEOUT,1,40,1,NET_BANKING,170,VIP,11,3,Travel & Hospitality,0,185,MOBILE_ANDROID,10062.21,CARD_UPDATE_PROMPT,1,22.2,9228.38
tx_rec_100084,cust_16295,mer_118,5022.39,CARD,State Bank of India,EXPIRED_CARD,INVALID_INSTRUMENT,1,4,7,CARD,146,STANDARD,0,4,E-Commerce & Retail,0,255,MOBILE_ANDROID,4771.39,CARD_UPDATE_PROMPT,1,116.0,5022.39
tx_rec_100085,cust_15704,mer_198,2196.36,NET_BANKING,Kotak Mahindra Bank,USER_CANCELLED,INTENT_ABANDONMENT,1,2,7,NET_BANKING,571,STANDARD,10,5,Travel & Hospitality,0,232,MOBILE_ANDROID,5120.59,WHATSAPP_CONCIERGE,0,0.0,0.0
tx_rec_100086,cust_17312,mer_127,50941.97,UPI,State Bank of India,USER_CANCELLED,INTENT_ABANDONMENT,1,27,2,UPI,195,VIP,19,6,Quick Commerce & Food,0,250,MOBILE_ANDROID,50102.05,TIMED_SMART_RETRY,0,0.0,0.0
tx_rec_100087,cust_14243,mer_218,1602.98,UPI,ICICI Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,2,11,2,UPI,148,STANDARD,20,6,SaaS & Cloud Services,0,406,MOBILE_ANDROID,1176.81,TIMED_SMART_RETRY,1,85.3,1602.98
tx_rec_100088,cust_11092,mer_218,2981.94,CARD,Kotak Mahindra Bank,INVALID_CARD,INVALID_INSTRUMENT,1,6,7,UPI,444,STANDARD,11,4,SaaS & Cloud Services,0,106,MOBILE_ANDROID,3015.55,CARD_UPDATE_PROMPT,1,19.2,2981.94
tx_rec_100089,cust_16187,mer_213,10571.95,UPI,ICICI Bank,TRANSACTION_LIMIT,FINANCIAL_LIMIT,1,24,2,UPI,45,VIP,18,4,SaaS & Cloud Services,0,187,MOBILE_IOS,17298.24,INCENTIVIZED_DUNNING,1,126.4,10043.35
tx_rec_100090,cust_17428,mer_240,5694.74,UPI,ICICI Bank,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,8,8,UPI,103,STANDARD,15,6,Travel & Hospitality,0,55,MOBILE_ANDROID,3158.54,UPI_INTENT_FALLBACK,1,2.4,5694.74
tx_rec_100091,cust_12123,mer_163,8447.73,UPI,IndusInd Bank,TRANSACTION_LIMIT,FINANCIAL_LIMIT,2,20,6,UPI,26,GROWTH,15,6,Quick Commerce & Food,0,180,MOBILE_ANDROID,14668.33,TIMED_SMART_RETRY,1,141.2,8447.73
tx_rec_100092,cust_15134,mer_161,4077.98,UPI,ICICI Bank,CHECKOUT_ABANDONED,INTENT_ABANDONMENT,1,5,1,UPI,35,STANDARD,10,2,SaaS & Cloud Services,1,86,MOBILE_ANDROID,3761.09,INCENTIVIZED_DUNNING,1,11.8,3874.08
tx_rec_100093,cust_17315,mer_238,4623.28,UPI,State Bank of India,UPI_TIMEOUT,TECHNICAL_TIMEOUT,1,19,3,UPI,526,GROWTH,11,3,SaaS & Cloud Services,0,228,MOBILE_ANDROID,9937.65,SMART_PAYLINK_1CLICK,1,8.4,4623.28
